items,freq,items_named
[24852],472565,Banana
[13176],379450,Bag of Organic Bananas
[21137],264683,Organic Strawberries
[21903],241921,Organic Baby Spinach
[47209],213584,Organic Hass Avocado
[47766],176815,Organic Avocado
[47626],152657,Large Lemon
[16797],142951,Strawberries
[26209],140627,Limes
[27845],137905,Organic Whole Milk
[27966],137057,Organic Raspberries
[22935],113426,Organic Yellow Onion
[24964],109778,Organic Garlic
[45007],104823,Organic Zucchini
[39275],100060,Organic Blueberries
[49683],97315,Cucumber Kirby
[28204],89632,Organic Fuji Apple
[5876],87746,Organic Lemon
[8277],85020,Apple Honeycrisp Organic
[40706],84255,Organic Grape Tomatoes
[4920],82689,Seedless Red Grapes
[30391],80392,Organic Cucumber
[45066],79769,Honeycrisp Apple
[42265],76896,Organic Baby Carrots
[49235],76360,Organic Half & Half
[44632],75886,Sparkling Water Grapefruit
[19057],75165,Organic Large Extra Fancy Fuji Apple
[4605],73167,Yellow Onions
[37646],72846,Organic Gala Apples
[21616],72829,Organic Baby Arugula
[17794],72736,Carrots
[27104],71584,Fresh Cauliflower
[30489],71314,Original Hummus
[31717],69524,Organic Cilantro
[27086],69217,Half & Half
[44359],68091,Organic Small Bunch Celery
[28985],67449,Michigan Organic Kale
[46979],67283,Asparagus
[8518],66986,Organic Red Onion
[41950],64289,Organic Tomato Cluster
"[47209, 13176]",62341,"Organic Hass Avocado, Bag of Organic Bananas"
[26604],61746,Organic Blackberries
"[21137, 13176]",61628,"Organic Strawberries, Bag of Organic Bananas"
[5077],60816,100% Whole Wheat Bread
[34126],60621,Organic Italian Parsley Bunch
[22035],59676,Organic Whole String Cheese
[39877],58779,Organic Granny Smith Apple
[35951],57895,Organic Unsweetened Almond Milk
[43352],57640,Raspberries
[10749],57485,Organic Red Bell Pepper
"[21137, 24852]",56156,"Organic Strawberries, Banana"
[19660],56087,Spring Water
[9076],55946,Blueberries
[21938],55484,Green Bell Pepper
[43961],55371,Organic Peeled Whole Baby Carrots
[24184],55280,Red Peppers
[34969],54409,Red Vine Tomato
"[47766, 24852]",53395,"Organic Avocado, Banana"
[46667],52087,Organic Ginger Root
[48679],51939,Organic Garnet Sweet Potato (Yam)
"[21903, 24852]",51395,"Organic Baby Spinach, Banana"
"[21903, 13176]",50372,"Organic Baby Spinach, Bag of Organic Bananas"
[25890],50281,Boneless Skinless Chicken Breasts
[31506],50255,Extra Virgin Olive Oil
[12341],50221,Hass Avocados
[39928],50141,Organic Kiwi
[24838],49569,Unsweetened Almondmilk
[5450],49021,Small Hass Avocado
[22825],48915,Organic D'Anjou Pears
[5785],47839,Organic Reduced Fat 2% Milk
[35221],46546,Lime Sparkling Water
[28842],45530,Bunched Cilantro
[33731],45238,Grated Parmesan
[27521],43067,Organic Lacinato (Dinosaur) Kale
[44142],43009,Red Onion
[33198],42934,Sparkling Natural Mineral Water
[8174],42721,Organic Navel Orange
[20114],42561,Jalapeno Peppers
[8424],42044,Broccoli Crown
[27344],41473,Uncured Genoa Salami
"[16797, 24852]",41232,"Strawberries, Banana"
"[47626, 24852]",40880,"Large Lemon, Banana"
"[47209, 21137]",40794,"Organic Hass Avocado, Organic Strawberries"
"[27966, 13176]",40503,"Organic Raspberries, Bag of Organic Bananas"
[11520],40376,Large Alfresco Eggs
[29487],40212,Roma Tomato
[18465],40045,Organic Grade A Free Range Large Brown Eggs
[28199],39825,"Clementines, Bag"
[15290],39188,Orange Bell Pepper
[46906],38971,Grape White/Green Seedless
[9839],38720,Organic Broccoli
"[21903, 21137]",38134,"Organic Baby Spinach, Organic Strawberries"
[27156],38001,Organic Black Beans
[3957],37973,100% Raw Coconut Water
[43122],37706,Organic Bartlett Pear
[23909],37091,2% Reduced Fat Milk
[34358],36617,Garlic
[4799],36365,Shredded Parmesan
[9387],36187,Granny Smith Apples
[16759],35820,Organic Carrot Bunch
[196],35791,Soda
[42736],35667,Unsalted Butter
[38689],35663,Organic Reduced Fat Milk
[4210],35633,Whole Milk
[41787],35413,Bartlett Pears
"[47209, 21903]",34901,"Organic Hass Avocado, Organic Baby Spinach"
[41220],34874,Organic Romaine Lettuce
[47144],34583,Unsweetened Original Almond Breeze Almond Milk
[7781],34209,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese
"[28204, 24852]",33943,"Organic Fuji Apple, Banana"
[33000],33908,Pure Irish Butter
"[27966, 21137]",33863,"Organic Raspberries, Organic Strawberries"
[20995],32887,Organic Broccoli Florets
[21709],32788,Sparkling Lemon Water
[19678],32534,Organic Russet Potato
[40604],32351,Feta Cheese Crumbles
