antecedent,consequent,confidence,lift,support,antecedent_named,consequent_named
[21903],[21137],0.15762997011421084,1.9145940333944889,0.011861740149069606,Organic Baby Spinach,Organic Strawberries
[21903],[13176],0.20821673190835024,1.7641074127740823,0.01566842121961856,Organic Baby Spinach,Bag of Organic Bananas
[21903],[24852],0.21244538506371916,1.4452723855159375,0.015986629647071704,Organic Baby Spinach,Banana
[21903],[47209],0.14426610339739004,2.1714985434001655,0.010856101980979659,Organic Baby Spinach,Organic Hass Avocado
[24852],[47766],0.11298974744215082,2.054394713787502,0.016608738009638947,Banana,Organic Avocado
[24852],[21137],0.11883232994402887,1.443352870779309,0.017467558604163026,Banana,Organic Strawberries
[24852],[21903],0.10875752541978352,1.4452723855159377,0.015986629647071704,Banana,Organic Baby Spinach
[47209],[21137],0.19099745299273355,2.319879802225913,0.012689144271284038,Organic Hass Avocado,Organic Strawberries
[47209],[13176],0.29188047793842237,2.4729449456629533,0.019391428715402222,Organic Hass Avocado,Bag of Organic Bananas
[47209],[21903],0.16340643493894674,2.171498543400166,0.010856101980979659,Organic Hass Avocado,Organic Baby Spinach
[47766],[24852],0.301982297881967,2.054394713787502,0.016608738009638947,Organic Avocado,Banana
[28204],[24852],0.3786928775437344,2.5762591093300085,0.01055811207530995,Organic Fuji Apple,Banana
[27966],[21137],0.24707238594161554,3.0009732007029744,0.01053322774080726,Organic Raspberries,Organic Strawberries
[27966],[13176],0.29551938244671927,2.503775409471641,0.012598627504530504,Organic Raspberries,Bag of Organic Bananas
[21137],[13176],0.23283701635541385,1.9727017264951765,0.019169647084147,Organic Strawberries,Bag of Organic Bananas
[21137],[24852],0.21216322922137046,1.4433528707793088,0.017467558604163026,Organic Strawberries,Banana
[21137],[27966],0.12793794841376288,3.0009732007029744,0.01053322774080726,Organic Strawberries,Organic Raspberries
[21137],[21903],0.1440742321947386,1.9145940333944889,0.011861740149069606,Organic Strawberries,Organic Baby Spinach
[21137],[47209],0.15412398982934303,2.3198798022259126,0.012689144271284038,Organic Strawberries,Organic Hass Avocado
[13176],[21137],0.16241402029252866,1.9727017264951765,0.019169647084147,Bag of Organic Bananas,Organic Strawberries
[13176],[27966],0.10674133614441955,2.5037754094716407,0.012598627504530504,Bag of Organic Bananas,Organic Raspberries
[13176],[21903],0.13275003294241666,1.7641074127740828,0.01566842121961856,Bag of Organic Bananas,Organic Baby Spinach
[13176],[47209],0.16429305573856898,2.4729449456629533,0.019391428715402222,Bag of Organic Bananas,Organic Hass Avocado
[16797],[24852],0.28843449853446285,1.9622286247214302,0.012825386002686264,Strawberries,Banana
[47626],[24852],0.26778988189208486,1.8217826727708029,0.01271589493087443,Large Lemon,Banana
